name,categories,price,rating,specification,image_link
Ergodo Kids,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",2699.0,94.0,Dětská rostoucí židle ERGODO KIDS  ,https://im9.cz/iR/importprodukt-orig/327/327e4c2c3b94e826dccb06498eca72f4--mmf350x350.jpg
Aga MR2075,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",799.0,95.0,"Kancelářská židle bez podhlavníku, která je vyrobená v černé barvě v kombinaci síťoviny a plastu.",https://im9.cz/iR/importprodukt-orig/875/875f3ebeca380f90b9f887753454f54b--mmf350x350.jpg
Superkancl SIHOSEAT M92B,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",4315.0,77.0,"Kolečková kancelářská židle je užitečnou výbavou každé dokonale zařízené kanceláře. K tělu přívětivě navržené tvary jsou zárukou naprosto pohodlného sezení. SUPERKANCL Sihoseat M92B černé může nabídnout asynchronní variantu konstrukce. Sedák a opěrák se dají nastavit nezávisle na sobě, jde o systém ideální pro dlouhé sezení. K dispozici jsou rovněž pevné područky pro oporu loktů a patřičný komfort. Především při delším dni v kanceláři je prakticky nenahraditelná hlavová opěrka. Pomáhá krční páteři a uleví svalům krku. Bolavým zádům zabrání opěrka pro bedra, která podporuje správné držení těla. Hlavní parametry kancelářské židle SUPERKANCL Sihoseat M92B černé Černá barva kancelářské židle ozdobí interiér vaší kanceláře Nastavení různých částí nezávisle na sobě umožňuje asynchronní mechanika Područky pro opření loktů jsou umístěny na pevno Záda ve správné poloze drží bederní opěrka Krční páteř a svaly drží ve správné poloze opěrka Materiály potahů SUPERKANCL Sihoseat M92B černé: textilní a síťovinové Kolečka...",https://im9.cz/iR/importprodukt-orig/363/363f25cc409e9f9ff063dc4d06408519--mmf350x350.jpg
Halmar Desmond,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",2790.0,98.0,Křeslo Desmond černé,https://im9.cz/iR/importprodukt-orig/834/834fe40fa048f7f44d2ca57463a9aeb3--mmf350x350.jpg
Huzaro Future 3.5,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",1290.0,92.0,Kancelářská židle Future 3.5,https://im9.cz/iR/importprodukt-orig/288/28876ed8e9b869960f4a8da69bef06a6--mmf350x350.jpg
Superkancl Fold,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",3195.0,97.0,"Kancelářské křeslo FOLD s područkami je moderní křeslo s výjimečným polstrováním. Jeho hlavní předností je široký a pohodlný sedák. Ergonomicky tvarovaný opěrák je ideální pro správné držení těla bez nepříjemných bolestí zad. Je doplněný o zvýšenou opěrku hlavy. Křeslo je čalouněno do jemné a odolné eco kůže černé barvy se snadnou údržbou. Elegantní prošití vypadá fantasticky! Křeslo vám poskytne pohodlné sezení na dlouhé hodiny. Ruce si můžete položit na čalouněné područky, které se dají odklopit směrem nahoru. Křeslo FOLD má kvalitní houpací mechanismus. Síla houpání se reguluje v závislosti na váze uživatele velkým plastovým šroubem umístěným pod sedákem. Svojí velikostí je vhodné pro osoby s výškou do 180 cm. Výška sezení se upravuje plynule páčkou. Je použitý kvalitní plynový píst s certifikátem BIFMA Class 3, stříbrný zesílený kříž má kolečka o průměru 50 mm pro všechny druhy podlah. Kancelářské křeslo má nosnost max. 140 kg, záruka 24 měsíců.",https://im9.cz/iR/importprodukt-orig/5ee/5ee8755b6437291104c5466c54fadd3f--mmf350x350.jpg
Kondela Anais,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",2590.0,91.0,"Rostoucí židle s podnoží a šlemi, šedá/ bílá, ANAIS",https://im9.cz/iR/importprodukt-orig/190/190db19cf4159ba53ee428313a6ec6e5--mmf350x350.jpg
Mercury Fish Bones PDH,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",6290.0,98.0,"Židle FISH BONES PDH černý plast, šedá  TW12",https://im9.cz/iR/importprodukt-orig/c17/c17479a82b5dff615a53f09f358c838b--mmf350x350.jpg
Antares Tennessee,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",1450.0,98.0,,https://im9.cz/iR/importprodukt-orig/b41/b412ec74aa3fd54dae63e566cbbedf31--mmf350x350.jpg
Antares Ergohuman,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",18431.0,100.0,Antares ERGOHUMAN,https://im9.cz/iR/importprodukt-orig/035/0358ad4f615918c167200bdf75088cba--mmf350x350.jpg
Alba Fuxo S-Line,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",3370.0,98.0,Rostoucí židle Fuxo,https://im9.cz/iR/importprodukt-orig/187/187f7c5f20f3a156a99c7098913220cb--mmf350x350.jpg
Halmar Relax 2,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",2669.0,98.0,Kancelářské křeslo RELAX 2 látkové,https://im9.cz/iR/importprodukt-orig/669/669c2cf0ad0075f2bea107c8ea5e9149--mmf350x350.jpg
Alba Lexa s podhlavníkem,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",3990.0,98.0,Kancelářská židle Lexa s podhlavníkem zaujme díky svému designu.,https://im9.cz/iR/importprodukt-orig/de9/de99b28b8c43626222fa472bc53f1b88--mmf350x350.jpg
Neoseat Amadora,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",4180.0,100.0,Ergonomická kancelářská židle s textilním potahem s odolností 100 000 cyklů.,https://im9.cz/iR/importprodukt-orig/700/700c354f5b896a215d90b6eb9593e8f6--mmf350x350.jpg
Casaria Deluxe,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",1790.0,97.0,"Kancelářská židle Deluxe vás podpoří při každodenní kancelářské práci. K tomu vám pomůže ergonomický sedák, dvě ergonomicky tvarované područky a prodyšná zádová opěrka potažená síťovinou. Stolní židle je vyrobena z umělé kůže, která se snadno udržuje a lze ji snadno a rychle sestavit. Výšku sedáku otočné židle lze plynule nastavit pomocí plynové pružiny. Zároveň je otočný o 360° a ideálně si nastavíte funkci houpání - díky nastavení stupně tvrdosti. Stabilní základna pracovní židle je vybavena pěti bezpečnostními kolečky. Své manažerské křeslo tak můžete snadno přepravovat.",https://im9.cz/iR/importprodukt-orig/282/28285be9e06bcd310665ba86bd9fe40b--mmf350x350.jpg
Antares Nevada,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",3826.0,100.0,POPIS,https://im9.cz/iR/importprodukt-orig/12a/12afbf577b9e582c6541cdba04a36573--mmf350x350.jpg
Antares Ruben,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",5445.0,98.0,Kancelářská židle RUBEN černá,https://im9.cz/iR/importprodukt-orig/472/472158d531ec2bc34a48c20af8d9e4d3--mmf350x350.jpg
